Date,Average Daily Expenditure on Medicine B in Dollars
4/21/2012,180.7019632
4/22/2012,141.1792787
4/23/2012,191.9483915
4/24/2012,196.6433912
4/25/2012,162.871417
4/26/2012,173.7439928
4/27/2012,158.692213
4/28/2012,172.4333863
4/29/2012,244.6977408
4/30/2012,229.6533168
5/1/2012,161.9426822
5/2/2012,160.7812713
5/3/2012,175.5842706
5/4/2012,167.7685418
5/5/2012,191.4163533
5/6/2012,146.1129797
5/7/2012,191.2951556
5/8/2012,190.371425
5/9/2012,181.8674262
5/10/2012,159.9263697
5/11/2012,188.8163645
5/12/2012,226.0119798
5/13/2012,210.1894619
5/14/2012,156.7392688
5/15/2012,188.4713938
5/16/2012,203.5186085
5/17/2012,165.9858641
5/18/2012,162.7047431
5/19/2012,179.2987985
5/20/2012,168.2574583
5/21/2012,180.9501572
5/22/2012,186.6933419
5/23/2012,186.9830722
5/24/2012,176.8389266
5/25/2012,165.899521
5/26/2012,261.3844935
5/27/2012,157.26774
5/28/2012,215.5560877
5/29/2012,130.4854055
5/30/2012,155.9661392
5/31/2012,149.930018
6/1/2012,131.1508582
6/2/2012,143.4567204
6/3/2012,220.0420626
6/4/2012,162.8989417
6/5/2012,178.369926
6/6/2012,135.6635903
6/7/2012,157.7027628
6/8/2012,208.8344062
6/9/2012,178.7603482
6/10/2012,321.5813763
6/11/2012,180.6879179
6/12/2012,187.4446007
6/13/2012,150.342685
6/14/2012,197.2732365
6/15/2012,211.2733748
6/16/2012,188.5684991
6/17/2012,152.22495
6/18/2012,178.9176687
6/19/2012,166.8527296
6/20/2012,156.7177676
6/21/2012,190.2767772
6/22/2012,175.4857035
6/23/2012,275.2219691
6/24/2012,199.8636817
6/25/2012,192.5081746
6/26/2012,116.164109
6/27/2012,192.8673592
6/28/2012,166.0539194
6/29/2012,171.5268695
6/30/2012,157.6070375
7/1/2012,114.6212803
7/2/2012,172.4116593
7/3/2012,155.4281062
7/4/2012,126.6698677
7/5/2012,187.1037353
7/6/2012,189.3961119
7/7/2012,162.9599567
7/8/2012,195.9016993
7/9/2012,185.143674
7/10/2012,184.8827786
7/11/2012,183.3868709
7/12/2012,198.4540671
7/13/2012,183.9451759
7/14/2012,194.9540444
7/15/2012,185.1099243
7/16/2012,205.7883597
7/17/2012,129.1535628
7/18/2012,255.8997521
7/19/2012,193.9476088
7/20/2012,178.868493
7/21/2012,174.0296765
7/22/2012,182.6332758
7/23/2012,199.7530624
7/24/2012,157.1269006
7/25/2012,199.6314038
7/26/2012,190.2035791
7/27/2012,210.2312817
7/28/2012,158.4952329
7/29/2012,210.8108136
7/30/2012,205.3731139
7/31/2012,256.9412008
8/1/2012,91.13088003
8/2/2012,163.7334694
8/3/2012,189.1299532
8/4/2012,133.9708067
8/5/2012,133.2282447
8/6/2012,182.3733163
8/7/2012,218.5906215
8/8/2012,158.9296889
8/9/2012,231.8080936
8/10/2012,165.9551598
8/11/2012,171.1921676
8/12/2012,179.8617
8/13/2012,211.0201942
8/14/2012,212.6808658
8/15/2012,173.5131457
8/16/2012,152.69108
8/17/2012,167.1559676
8/18/2012,145.8384452
8/19/2012,241.2533281
8/20/2012,189.7893092
8/21/2012,188.4207777
8/22/2012,175.9578144
8/23/2012,206.9176462
8/24/2012,182.8124284
8/25/2012,222.0644795
